id;code;libelle;deleted;region_id;created_by;created_date;last_modified_by;last_modified_date
1;1;BALE;false;1;system;2019-10-01;system;2019-10-01
2;2;BAM;false;5;system;2019-10-02;system;2019-10-02
3;3;BANWA;false;1;system;2019-10-03;system;2019-10-03
4;4;BAZEGA;false;7;system;2019-10-04;system;2019-10-04
5;5;BOUGOURIBA;false;13;system;2019-10-05;system;2019-10-05
6;6;BOULGOU;false;4;system;2019-10-06;system;2019-10-06
7;7;BOULKIEMDE;false;6;system;2019-10-07;system;2019-10-07
8;8;COMOE;false;2;system;2019-10-08;system;2019-10-08
9;9;GANZOURGOU;false;11;system;2019-10-09;system;2019-10-09
10;10;GNAGNA;false;8;system;2019-10-10;system;2019-10-10
11;11;GOURMA;false;8;system;2019-10-11;system;2019-10-11
12;12;HOUET;false;9;system;2019-10-12;system;2019-10-12
13;13;IOBA;false;13;system;2019-10-13;system;2019-10-13
42;42;YATENGA;false;10;system;2019-10-14;system;2019-10-14
43;43;ZIRO;false;6;system;2019-10-15;system;2019-10-15
26;26;NAMENTENGA;false;5;system;2019-10-16;system;2019-10-16
14;14;KADIOGO;false;3;system;2019-10-17;system;2019-10-17
15;15;KENEDOUGOU;false;9;system;2019-10-18;system;2019-10-18
16;16;KOMANDJOARI;false;8;system;2019-10-19;system;2019-10-19
17;17;KOMPIENGA;false;8;system;2019-10-20;system;2019-10-20
18;18;KOSSI;false;1;system;2019-10-21;system;2019-10-21
19;19;KOULPELOGO;false;4;system;2019-10-22;system;2019-10-22
20;20;KOURITENGA;false;4;system;2019-10-23;system;2019-10-23
21;21;KOURWEOGO;false;11;system;2019-10-24;system;2019-10-24
22;22;LERABA;false;2;system;2019-10-25;system;2019-10-25
23;23;LOROUM;false;10;system;2019-10-26;system;2019-10-26
24;24;MOUHOUN;false;1;system;2019-10-27;system;2019-10-27
25;25;NAHOURI;false;7;system;2019-10-28;system;2019-10-28
27;27;NAYALA;false;1;system;2019-10-29;system;2019-10-29
28;28;NOUMBIEL;false;13;system;2019-10-30;system;2019-10-30
29;29;OUBRITENGA;false;11;system;2019-10-31;system;2019-10-31
30;30;OUDALAN;false;12;system;2019-11-01;system;2019-11-01
31;31;PASSORE;false;10;system;2019-11-02;system;2019-11-02
32;32;PONI;false;13;system;2019-11-03;system;2019-11-03
33;33;SANGUIE;false;6;system;2019-11-04;system;2019-11-04
34;34;SANMATENGA;false;5;system;2019-11-05;system;2019-11-05
35;35;SENO;false;12;system;2019-11-06;system;2019-11-06
36;36;SISSILI;false;6;system;2019-11-07;system;2019-11-07
37;37;SOUM;false;12;system;2019-11-08;system;2019-11-08
38;38;SOUROU;false;1;system;2019-11-09;system;2019-11-09
39;39;TAPOA;false;8;system;2019-11-10;system;2019-11-10
40;40;TUY;false;9;system;2019-11-11;system;2019-11-11
41;41;YAGHA;false;12;system;2019-11-12;system;2019-11-12
44;44;ZONDOMA;false;10;system;2019-11-13;system;2019-11-13
45;45;ZOUNDWEOGO;false;7;system;2019-11-14;system;2019-11-14
