id;code;libelle;couleur;deleted;created_by;created_date;last_modified_by;last_modified_date
1;1;BOUCLE DU MOUHOUN;#008000;f;system;2019-10-01 00:00:00;system;2019-10-02 00:00:00
8;2;EST;#008000;f;system;2019-10-02 00:00:00;system;2019-10-02 00:00:00
2;3;CASCADES;#008000;f;system;2019-10-03 00:00:00;system;2019-10-02 00:00:00
3;4;CENTRE;#008000;f;system;2019-10-04 00:00:00;system;2019-10-02 00:00:00
4;5;CENTRE EST;#008000;f;system;2019-10-05 00:00:00;system;2019-10-02 00:00:00
5;6;CENTRE NORD;#008000;f;system;2019-10-06 00:00:00;system;2019-10-02 00:00:00
6;7;CENTRE OUEST;#008000;f;system;2019-10-07 00:00:00;system;2019-10-02 00:00:00
7;8;CENTRE SUD;#008000;f;system;2019-10-08 00:00:00;system;2019-10-02 00:00:00
9;9;HAUTS BASSINS;#008000;f;system;2019-10-09 00:00:00;system;2019-10-02 00:00:00
10;10;NORD;#008000;f;system;2019-10-10 00:00:00;system;2019-10-02 00:00:00
11;11;PLATEAU CENTRAL;#008000;f;system;2019-10-11 00:00:00;system;2019-10-02 00:00:00
12;12;SAHEL;#008000;f;system;2019-10-12 00:00:00;system;2019-10-02 00:00:00
13;13;SUD OUEST;#008000;f;system;2019-10-13 00:00:00;system;2019-10-02 00:00:00
